,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,house_age,baths_per_bedroom,type_condo_townhome_rowhome_coop,type_condos,type_multi_family,type_single_family,type_townhomes
58,319790.0,2062.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
59,218000.0,1136.0,1.0,3.0,2.0,2.0,2.0,1.0,2016.0,10.0,0.6666666666666666,0,1,0,0,0
60,230000.0,1430.0,2.0,3.0,3.0,2.0,2.0,2.0,2021.0,5.0,1.0,0,0,0,1,0
61,234999.0,1260.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
62,270999.0,1896.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
64,249900.0,1675.0,1.0,3.0,2.0,1.0,1.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
65,498146.0,3210.0,2.0,4.0,4.0,3.0,3.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
66,269000.0,1112.0,1.0,2.0,1.0,1.0,1.0,2.0,2010.0,16.0,0.5,0,0,0,1,0
67,339900.0,2442.0,2.0,4.0,3.0,3.0,3.0,2.0,2020.0,6.0,0.75,0,0,0,1,0
68,310000.0,1765.0,1.0,4.0,2.0,2.0,2.0,2.0,2019.0,7.0,0.5,0,0,0,1,0
69,620000.0,2611.0,3.0,3.0,3.0,2.0,2.0,2.0,2020.0,6.0,1.0,0,0,0,0,1
70,580000.0,3235.0,2.0,4.0,4.0,3.0,3.0,2.0,2021.0,5.0,1.0,0,0,0,1,0
72,364000.0,2025.0,1.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
73,714000.0,2931.0,1.0,4.0,4.0,3.0,3.0,3.0,2025.0,1.0,1.0,0,0,0,1,0
74,304900.0,2112.0,1.0,4.0,3.0,3.0,3.0,2.0,2020.0,6.0,0.75,0,0,0,1,0
75,280000.0,1709.0,1.0,4.0,2.0,2.0,2.0,2.0,2022.0,4.0,0.5,0,0,0,1,0
76,760000.0,2074.0,2.0,4.0,2.0,2.0,2.0,4.0,2011.0,15.0,0.5,0,0,0,1,0
77,364999.0,2472.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
78,487000.0,2885.0,2.0,4.0,3.0,2.0,2.0,1.0,2021.0,5.0,0.75,0,0,0,1,0
79,402524.0,2410.0,2.0,4.0,3.0,2.0,2.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
80,449900.0,1745.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
81,110000.0,1655.0,1.0,3.0,2.0,2.0,2.0,2.0,1962.0,64.0,0.6666666666666666,0,0,0,1,0
82,1757500.0,3300.0,3.0,3.0,4.0,3.0,3.0,2.0,2026.0,0.0,1.3333333333333333,0,0,0,0,1
83,329306.0,2052.0,2.0,4.0,3.0,3.0,3.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
84,261490.0,1924.0,1.0,4.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.5,0,0,0,1,0
85,570000.0,2576.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
86,389624.0,1915.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
87,374900.0,1778.0,3.0,3.0,4.0,3.0,3.0,2.0,2026.0,0.0,1.3333333333333333,0,0,0,1,0
88,399900.0,2108.0,1.0,4.0,3.0,3.0,3.0,2.0,2024.0,2.0,0.75,0,0,0,1,0
89,247950.0,1077.0,1.0,3.0,2.0,2.0,2.0,1.0,2024.0,2.0,0.6666666666666666,0,0,0,1,0
90,324950.0,1785.0,1.0,4.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.5,0,0,0,1,0
91,518900.0,2214.0,1.0,4.0,4.0,2.0,2.0,3.0,2025.0,1.0,1.0,0,0,0,1,0
92,1010900.0,2894.0,1.0,4.0,4.0,3.0,3.0,3.0,2023.0,3.0,1.0,0,0,0,1,0
93,336000.0,1948.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
94,585000.0,3567.0,2.0,5.0,3.0,3.0,3.0,2.0,2022.0,4.0,0.6,0,0,0,1,0
95,330990.0,2060.0,1.0,4.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.5,0,0,0,1,0
97,450000.0,2200.0,1.0,4.0,3.0,3.0,3.0,2.0,2016.0,10.0,0.75,0,0,0,1,0
98,1150000.0,3866.0,2.0,5.0,5.0,4.0,4.0,3.0,2022.0,4.0,1.0,0,0,0,1,0
100,569000.0,2595.0,1.0,4.0,4.0,3.0,3.0,2.0,2026.0,0.0,1.0,0,0,0,1,0
101,380490.0,2066.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
102,294990.0,1809.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
103,352990.0,1982.0,2.0,3.0,3.0,2.0,2.0,2.0,2023.0,3.0,1.0,0,0,0,0,1
104,875000.0,4615.0,3.0,5.0,3.0,3.0,3.0,2.0,1935.0,91.0,0.6,0,0,0,1,0
105,236950.0,1321.0,1.0,3.0,2.0,1.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
106,295000.0,1807.0,1.0,4.0,2.0,2.0,2.0,2.0,2022.0,4.0,0.5,0,0,0,1,0
107,320900.0,1510.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
108,484240.0,2742.0,2.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
109,391990.0,3223.0,2.0,5.0,4.0,4.0,4.0,2.0,2025.0,1.0,0.8,0,0,0,1,0
110,289000.0,2801.0,1.0,3.0,3.0,2.0,2.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
111,289990.0,1462.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
112,300000.0,1865.0,1.0,3.0,3.0,2.0,2.0,2.0,2022.0,4.0,1.0,0,0,0,1,0
113,456319.0,2447.0,2.0,4.0,3.0,3.0,3.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
114,295999.0,2370.0,2.0,4.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
115,259900.0,1582.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
116,487000.0,2847.0,1.0,4.0,4.0,3.0,3.0,3.0,2022.0,4.0,1.0,0,0,0,1,0
